code,parent_code,like_count,username,text,created_at
C65nLHKSo3u,C6mC_7cCJ75,0,asianetnews,"പന്നിയുടെ ജനിതക മാറ്റം വരുത്തിയ വൃക്ക സ്വീകരിച്ച ആദ്യത്തെയാൾ മരിച്ചു, ശസ്ത്രക്രിയക്ക് ശേഷം ജീവിച്ചത് 2 മാസം 

🔗 https://www.asianetnews.com/international-news/man-who-received-pig-kidney-transplant-dies-after-milestone-surgery-sdev0u",1715586396.3646817
C65mhKvpTpY,C6mC_7cCJ75,2,reporterliveofficial,"രോഹിത് ശർമ്മയാണ് ഈ നാണക്കേടിൽ മാക്‌സ്‌വെല്ലിന് ഒപ്പമുള്ള താരം

 https://www.reporterlive.com/cricket/2024/05/13/this-rcb-player-registered-unwanted-records-in-ipl

 GlennMaxwell",1715586396.3646882
C6kjqJkyUQu,,17,hi__dipun__,"Sahi h na??? 🥲🥲 
ExitCeremony",1715586399.7087412
C6kuGtBvEs3,C6kjqJkyUQu,3,shaileshchhaniyara,Yes 👍,1715586399.7087517
C6lJ4dyyHuR,C6kjqJkyUQu,1,vashishth.mukul,Badhai ho 👍🎉🥳,1715586399.7087557
C6k3zaqyCfh,C6kjqJkyUQu,2,raj3.nikhil,Yes,1715586399.7087595
C6k7oQuNN-J,C6kjqJkyUQu,3,rohittalented,Badiya,1715586399.7087617
C6l4Ob5PCm6,C6kjqJkyUQu,1,rechal_srivastava7,Yep 👍....it's good.,1715586399.708764
C6k_dMHvTwz,C6kjqJkyUQu,3,atuls5877,,1715586399.7087667
C65dixSxPMl,,11,swami_samarth941,अक्कलकोट श्री स्वामी समर्थ महाराज की जय 🙏🏻🌹,1715586402.129588
C65l_QnM00q,C6k7hINNVeX,6,swlikhit____,Marathi Quotes,1715586402.1295998
C65k4L8N-nA,C6k7hINNVeX,17,tarknews1,डेल स्टेन,1715586402.1296027
C65lj2JMhac,C6k7hINNVeX,0,zee24taas,"Lok Sabha Election 2024 Maval Loksabha। सेना वि.सेना लढतीत कुणाची बाजी? Shrirang Barane म्हणाले..
#loksabhaelection2024 #shrirangbarne #maharashtrapolitics #shivsena #sanjogvaghrepatil shivsenaubtvshivsena",1715586402.1296055
C65jEvBSYWJ,C6k7hINNVeX,36,mrtaufik005,,1715586402.1296115
C6lAo13RItv,,151,valli_amitha,,1715586405.6628802
C6lA6X_NLGp,C6lAo13RItv,0,harimadambath,"Hi, good afternoon,h r you 😍",1715586405.6628897
C6lEMP3ME1p,C6lAo13RItv,0,sathissam369,Hi 🇬🇧❤️,1715586405.662895
C6lQqUforvn,C6lAo13RItv,0,like_thambi,,1715586405.6628978
C6lF-UuRB7R,C6lAo13RItv,0,dgl_killer_boy_um,Hello,1715586405.6629
C6l93eQCRsh,C6lAo13RItv,0,pritpal6dec662021,🌹,1715586405.662902
C6mffJ_BMK_,C6lAo13RItv,0,sunil_suni101289,బ్యూటిఫుల్,1715586405.6629043
C6lzXGItyCI,C6lAo13RItv,0,s.s_1323,💋💋💋💋💋,1715586405.6629071
C6lBwQ9vTAS,C6lAo13RItv,0,prajeeshkdaschiyaan,Cutie🥰,1715586405.6629095
